Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 10.718759505979476, 'train_mae_dbp': 5.476504233575636, 'val_mae_sbp': 10.86928677558899, 'val_mae_dbp': 5.571759819984436}
{'train_mae_sbp': 10.734257575004332, 'train_mae_dbp': 5.483687954564249, 'val_mae_sbp': 10.868265628814697, 'val_mae_dbp': 5.574730038642883}
{'train_mae_sbp': 10.708101949384135, 'train_mae_dbp': 5.466615476915913, 'val_mae_sbp': 10.867563486099243, 'val_mae_dbp': 5.57168436050415}
{'train_mae_sbp': 10.731777344980548, 'train_mae_dbp': 5.482465174890334, 'val_mae_sbp': 10.865155458450317, 'val_mae_dbp': 5.57457160949707}
{'train_mae_sbp': 10.732682166561004, 'train_mae_dbp': 5.486996742986864, 'val_mae_sbp': 10.864562034606934, 'val_mae_dbp': 5.57615602016449}
{'train_mae_sbp': 10.723327729009814, 'train_mae_dbp': 5.470964016452912, 'val_mae_sbp': 10.864453315734863, 'val_mae_dbp': 5.578535199165344}
{'train_mae_sbp': 10.726967350129158, 'train_mae_dbp': 5.479575018728933, 'val_mae_sbp': 10.864524364471436, 'val_mae_dbp': 5.572624683380127}
{'train_mae_sbp': 10.735102807321857, 'train_mae_dbp': 5.4691843678874354, 'val_mae_sbp': 10.859960079193115, 'val_mae_dbp': 5.571537733078003}
{'train_mae_sbp': 10.743050759838473, 'train_mae_dbp': 5.480883782909762, 'val_mae_sbp': 10.867655515670776, 'val_mae_dbp': 5.5731247663497925}
{'train_mae_sbp': 10.727870172069919, 'train_mae_dbp': 5.464837704935381, 'val_mae_sbp': 10.8676278591156, 'val_mae_dbp': 5.572900056838989}
{'train_mae_sbp': 10.733967227320518, 'train_mae_dbp': 5.477253790824644, 'val_mae_sbp': 10.86176061630249, 'val_mae_dbp': 5.573261141777039}
